season,date,game_pk,pitcher_id,lineup_ids,actual_k,exp_k,p_k_≥6.5
2024,2024-04-04,745844,605288,"607043,596019,624413,553882,683146,516782,643446,621438,664056",3,5.0165,0.224
2024,2024-04-04,745843,666159,"678009,679529,681481,682985,592192,690993,656716,595879,668670",3,5.0115,0.2435
2024,2024-04-04,745843,676130,"607043,596019,624413,683146,516782,621438,682626,664056,670097",6,5.1045,0.252
2024,2024-04-04,744870,527048,"665833,668804,663647,669261,656582,642133,680779,669707,572191",6,5.1555,0.265
2024,2024-04-04,744870,680686,"682928,657041,608841,608336,656180,608385,702358,671277,696285",3,4.9205,0.236
2024,2024-04-04,745928,676440,"680757,665926,608070,647304,671289,681807,657656,666310,677587",9,5.0025,0.234
2024,2024-04-04,745928,641154,"666397,666135,621439,596146,621043,467793,622534,650489,543877",2,5.058,0.2555
2024,2024-04-04,745200,677960,"650333,605137,669394,665862,650559,660821,641313,541645,660644",6,5.018,0.247
2024,2024-04-04,745200,458681,"687363,502671,571448,671056,669357,691023,676475,691026,672279",7,5.0525,0.2475
2024,2024-04-04,746327,647336,"643217,660162,673357,657757,683734,669699,666150,670032,686676",2,5.0065,0.2415
2024,2024-04-04,746327,607625,"672580,641658,686469,521692,680118,676369,592669,624428,664728",3,5.081,0.2445
2024,2024-04-05,745764,579328,"543807,665489,666182,457759,595281,676391,661531,662139,643396",7,5.009,0.2555
2024,2024-04-05,745764,573186,"650402,665742,592450,519317,519203,683011,657077,542932,624431",6,4.973,0.2295
2024,2024-04-05,746497,676664,"680869,605204,667670,669127,664913,647351,668709,676116,669397",1,4.9505,0.2385
2024,2024-04-05,746497,669373,"656716,681481,679529,682985,592192,570482,608348,595879,678009",9,5.0765,0.2485
2024,2024-04-05,746897,676272,"605141,660271,518692,666211,571970,606192,681546,621035,666158",3,5.0285,0.2505
2024,2024-04-05,746897,543294,"664023,673548,641355,666624,621020,683737,663538,663611,543228",4,4.987,0.243
2024,2024-04-05,746576,641793,"650490,623912,668227,670623,642708,666163,676609,642350,664040",5,5.007,0.2475
2024,2024-04-05,746576,596295,"595909,663898,666134,592178,641857,553869,678662,660707,686668",7,5.0055,0.237
2024,2024-04-05,745524,680570,"683002,668939,623993,663624,656811,656775,676059,669720,602104",7,5.025,0.252
2024,2024-04-05,745524,683003,"665833,668804,663647,669261,457705,642133,680779,669707,572191",7,4.991,0.2435
2024,2024-04-05,745361,656302,"593428,665487,630105,592518,673490,640492,669134,688363,701538",7,4.9185,0.2185
