game_pk,date,season,side,pitcher_id,k_actual,lineup_ids,exp_ks,p_over,p10,p90
744869,2024-04-03,2024,away,656605,5,"665833,668804,663647,669261,457705,642133,680779,669707,572191",4.86235,0.0,3.0,7.0
744869,2024-04-03,2024,home,592866,5,"682928,657041,608841,608336,660688,592696,702358,671277,545121",4.75655,0.0,2.0,7.0
746900,2024-04-03,2024,away,615698,3,"453568,678662,641857,592178,666134,669911,686668,663898,607732",4.85165,0.0,2.0,7.0
746900,2024-04-03,2024,home,681432,1,"664023,673548,641355,663611,621020,683737,663538,643565,543228",4.7731,0.0,2.0,7.0
746407,2024-04-03,2024,away,605135,3,"543807,676391,676914,596129,662139,661531,595281,643396,624415",4.84875,0.0,2.0,7.0
746407,2024-04-03,2024,home,664299,3,"514888,670541,676694,666197,673237,572138,676801,665161,643289",4.7807,0.0,2.0,7.0
746163,2024-04-03,2024,away,690986,4,"808982,664774,624585,624424,656305,642731,573262,672275,605113",4.78885,0.0,2.0,7.0
746163,2024-04-03,2024,home,607192,7,"605141,660271,518692,669257,606192,571970,571771,621035,500743",4.855,0.0,2.0,7.0
745844,2024-04-04,2024,away,663554,4,"592192,679529,628451,682985,663837,690993,608348,570482,656716",4.84985,0.0,2.0,7.0
745844,2024-04-04,2024,home,605288,3,"607043,596019,624413,553882,683146,516782,643446,621438,664056",4.86395,0.0,3.0,7.0
745843,2024-04-04,2024,away,666159,3,"678009,679529,681481,682985,592192,690993,656716,595879,668670",4.8027,0.0,2.0,7.0
745843,2024-04-04,2024,home,676130,6,"607043,596019,624413,683146,516782,621438,682626,664056,670097",4.78525,0.0,2.0,7.0
744870,2024-04-04,2024,away,527048,6,"665833,668804,663647,669261,656582,642133,680779,669707,572191",4.78725,0.0,2.0,7.0
744870,2024-04-04,2024,home,680686,3,"682928,657041,608841,608336,656180,608385,702358,671277,696285",4.80035,0.0,2.0,7.0
745928,2024-04-04,2024,away,676440,9,"680757,665926,608070,647304,671289,681807,657656,666310,677587",4.84075,0.0,2.0,7.0
745928,2024-04-04,2024,home,641154,2,"666397,666135,621439,596146,621043,467793,622534,650489,543877",4.784,0.0,2.0,7.0
745200,2024-04-04,2024,away,677960,6,"650333,605137,669394,665862,650559,660821,641313,541645,660644",4.8061,0.0,2.0,7.0
745200,2024-04-04,2024,home,458681,7,"687363,502671,571448,671056,669357,691023,676475,691026,672279",4.8023,0.0,2.0,7.0
746327,2024-04-04,2024,away,647336,2,"643217,660162,673357,657757,683734,669699,666150,670032,686676",4.8154,0.0,2.0,7.0
746327,2024-04-04,2024,home,607625,3,"672580,641658,686469,521692,680118,676369,592669,624428,664728",4.84605,0.0,2.0,7.0
745764,2024-04-05,2024,away,579328,7,"543807,665489,666182,457759,595281,676391,661531,662139,643396",4.824,0.0,2.0,7.0
745764,2024-04-05,2024,home,573186,6,"650402,665742,592450,519317,519203,683011,657077,542932,624431",4.83505,0.0,2.0,7.0
746497,2024-04-05,2024,away,676664,1,"680869,605204,667670,669127,664913,647351,668709,676116,669397",4.86645,0.0,2.0,7.0
746497,2024-04-05,2024,home,669373,9,"656716,681481,679529,682985,592192,570482,608348,595879,678009",4.8499,0.0,2.0,7.0
746897,2024-04-05,2024,away,676272,3,"605141,660271,518692,666211,571970,606192,681546,621035,666158",4.7924,0.0,2.0,7.0
746897,2024-04-05,2024,home,543294,4,"664023,673548,641355,666624,621020,683737,663538,663611,543228",4.8447,0.0,2.0,7.0
746576,2024-04-05,2024,away,641793,5,"650490,623912,668227,670623,642708,666163,676609,642350,664040",4.85005,0.0,2.0,7.0
746576,2024-04-05,2024,home,596295,7,"595909,663898,666134,592178,641857,553869,678662,660707,686668",4.84425,0.0,2.0,7.0
745524,2024-04-05,2024,away,680570,7,"683002,668939,623993,663624,656811,656775,676059,669720,602104",4.8005,0.0,2.0,7.0
745524,2024-04-05,2024,home,683003,7,"665833,668804,663647,669261,457705,642133,680779,669707,572191",4.77985,0.0,2.0,7.0
745361,2024-04-05,2024,away,656302,7,"593428,665487,630105,592518,673490,640492,669134,688363,701538",4.8477,0.0,2.0,7.0
745361,2024-04-05,2024,home,663855,5,"808982,527038,624585,624424,656305,642731,596103,672275,605113",4.8474,0.0,2.0,7.0
